Date,LeaveEU,RemainEU,Undecided
2016-06-20,45,44,9
2016-06-20,45,45,8
2016-06-21,48,52,
2016-06-20,46,51,3
2016-06-16,49,42,8
2016-06-17,42,48,11
2016-06-20,47,50,3
2016-06-20,40,41,10
2016-06-17,49,48,3
2016-06-17,44,42,9
2016-06-14,46,53,2
2016-06-17,42,46,
2016-06-16,43,44,9
2016-06-14,44,44,10
2016-06-15,43,42,9
2016-06-15,41,39,12
2016-06-10,47,37,13
2016-06-10,38,40,16
2016-06-08,48,48,4
2016-06-11,53,47,
2016-06-12,46,39,11
2016-06-10,49,44,7
2016-06-10,50,45,6
2016-06-09,49,51,
2016-06-07,47,40,12
2016-06-09,49,48,3
2016-06-09,43,42,11
2016-06-07,42,44,13
2016-06-08,55,45,
2016-06-05,42,43,11
2016-06-03,48,43,9
2016-06-02,47,48,5
2016-06-01,45,41,11
2016-05-31,41,43,14
2016-05-30,41,41,13
2016-05-27,47,44,9
2016-05-27,45,42,13
2016-05-25,46,51,3
2016-05-20,45,44,12
2016-05-23,41,41,13
2016-05-24,35,42,19
2016-05-18,42,55,3
2016-05-20,45,45,10
2016-05-17,40,44,14
2016-05-16,40,44,12
2016-05-14,43,57,
2016-05-14,37,55,5
2016-05-11,45,51,4
2016-05-13,39,47,14
2016-05-13,47,43,10
2016-05-10,41,38,21
2016-05-06,46,44,11
2016-05-04,40,42,13
2016-04-29,45,44,11
2016-04-26,41,42,14
2016-04-27,51,49,
2016-04-25,42,41,13
2016-04-25,38,45,17
2016-04-22,46,44,10
2016-04-20,46,51,3
2016-04-16,42,58,
2016-04-16,38,49,9
2016-04-15,44,43,13
2016-04-15,41,48,11
2016-04-13,43,52,5
2016-04-12,39,40,16
2016-04-12,34,38,28
2016-04-11,39,39,17
2016-04-07,35,35,30
2016-04-08,38,45,17
2016-04-08,45,42,12
2016-04-06,38,40,16
2016-03-29,38,39,18
2016-04-01,43,44,13
2016-03-29,48,49,3
2016-03-29,43,39,18
